code;city;school_name;type;nature;specialization;num_vacant;num_potential;address;latitude;longitude;school_type
1647;Toulouse;Ecole Elementaire Publique Viollet-Le-Duc(0312108y);E;Enseignant classeélémentaire;Sans spécialité;0;4;23 rue Viollet Le Duc 31100 TOULOUSE, 31100 Toulouse;43.58135021339709;1.392269630019443;Ecole
1648;Toulouse;Ecole Elementaire Publique Jules Ferry(0312110a);E;Enseignant classeélémentaire;Sans spécialité;0;14;109 avenue de Fronton 31200 TOULOUSE, 31200 Toulouse;43.63285479322702;1.4325805922248338;Ecole
1649;Toulouse;Ecole Elementaire Publique Chateau D'ancely(0312111b);E;Enseignant classeélémentaire;Sans spécialité;0;9;4 allée du Vivarais 31300 TOULOUSE, 31300 Toulouse;43.61853482261093;1.3986400521216718;Ecole
1650;Toulouse;Ecole Elementaire Publique Ferdinand DeLesseps (0312143l);E;Enseignant classeélémentaire;Sans spécialité;0;7;31 chemin des Pradettes 31100 TOULOUSE, 31100 Toulouse;43.578996825343935;1.3852299951649816;Ecole
1651;Toulouse;Ecole Elementaire Publique Alfred De Musset(0312151v);E;Enseignant classeélémentaire;Sans spécialité;1;9;5 rue du Général Hoche 31200 TOULOUSE, 31200 Toulouse;43.6225554847077;1.430260514208045;Ecole
1652;Toulouse;Ecole Elementaire Publique Anatole France(0312152w);E;Enseignant classeélémentaire;Sans spécialité;0;7;21 boulevard la Méditerranée 31400 TOULOUSE, 31400 Toulouse;43.58524264137566;1.4623899853580247;Ecole
1653;Toulouse;Ecole Elementaire Publique Henri Guillaumet(0312153x);E;Enseignant classeélémentaire;Sans spécialité;1;6;30 chemin de Bitet 31400 TOULOUSE, 31400 Toulouse;43.5767042577117;1.4886798794377891;Ecole
1654;Toulouse;Ecole Elementaire Publique Jean Mace(0312154y);E;Enseignant classeélémentaire;Sans spécialité;0;8;3 chemin de Duroux 31500 TOULOUSE, 31500 Toulouse;43.59576301091337;1.4786397897199677;Ecole
1655;Toulouse;Ecole Primaire Publique Littre (0312155z);E;Enseignant classeélémentaire;Sans spécialité;0;7;2 place Paul Bertier 31300 TOULOUSE, 31300 Toulouse;43.60805136348245;1.3777798500180434;Ecole
1656;Toulouse;Ecole Elementaire Publique La Juncasse(0312156a);E;Enseignant classeélémentaire;Sans spécialité;0;8;133 rue Louis Plana 31500 TOULOUSE, 31500 Toulouse;43.61735205961893;1.471109394069272;Ecole
1657;Toulouse;Ecole Elementaire Publique Jolimont(0312173u);E;Enseignant classeélémentaire;Sans spécialité;0;7;14 avenue Henri Guillaumet 31500 TOULOUSE, 31500 Toulouse;43.61351565802887;1.467790570963855;Ecole
1658;Toulouse;Ecole Elementaire Publique Soupetard(0312174v);E;Enseignant classeélémentaire;Sans spécialité;0;17;37 rue de la Solidarité 31500 TOULOUSE, 31500 Toulouse;43.6067630085609;1.4781994742065838;Ecole
1659;Toulouse;Ecole Elementaire Publique Courrege(0312176x);E;Enseignant classeélémentaire;Sans spécialité;0;8;165 avenue Saint-Exupéry 31400 TOULOUSE, 31400 Toulouse;43.58307969068796;1.4762797096817522;Ecole
1660;Toulouse;Ecole Elementaire Publique Rangueil(0312177y);E;Enseignant classeélémentaire;Sans spécialité;0;5;16 rue Claude Forbin 31400 TOULOUSE, 31400 Toulouse;43.575192072072284;1.4640901028061053;Ecole
1661;Toulouse;Ecole Elementaire Publique Ernest Renan(0312178z);E;Enseignant classeélémentaire;Sans spécialité;0;12;7 chemin d'Audibert 31200 TOULOUSE, 31200 Toulouse;43.63639998478397;1.4417994307249484;Ecole
1662;Toulouse;Ecole Elementaire Publique Victor Hugo(0312196u);E;Enseignant classeélémentaire;Sans spécialité;0;14;3 impasse Théodore Richard 31100 TOULOUSE, 31100 Toulouse;43.56601393235032;1.402539424081433;Ecole
1663;Toulouse;Ecole Elementaire Publique Patte D'oie(0312197v);E;Enseignant classeélémentaire;Sans spécialité;0;10;46 rue du Tchad 31300 TOULOUSE, 31300 Toulouse;43.595478151809225;1.4257399415604461;Ecole
